,0
1124,7
1125,1
1126,1
1127,7
1128,6
1129,6
1130,3
1131,0
1132,8
1133,4
1134,9
1135,2
1136,3
1137,7
1138,7
1139,1
1140,1
1141,7
1142,0
1143,0
1144,0
1145,0
1146,4
1147,6
1148,2
1149,9
1150,9
1151,1
1152,9
1153,2
1154,4
1155,7
1156,0
1157,7
1158,0
1159,6
1160,2
1161,1
1162,0
1163,2
1164,9
1165,2
1166,5
1167,9
1168,6
1169,6
1170,9
1171,1
1172,6
1173,0
1174,0
1175,1
1176,2
1177,1
1178,5
1179,3
1180,7
1181,4
1182,0
1183,5
1184,9
1185,4
1186,0
1187,1
1188,0
1189,4
1190,1
1191,0
1192,0
1193,0
1194,5
1195,7
1196,6
1197,0
1198,0
1199,5
1200,6
1201,8
1202,9
1203,7
1204,6
1205,2
1206,5
1207,3
1208,2
1209,1
1210,0
1211,5
1212,0
1213,9
1214,1
1215,4
1216,1
1217,0
1218,0
1219,0
1220,3
1221,6
1222,0
1223,0
1224,5
1225,0
1226,4
1227,5
1228,0
1229,7
1230,0
1231,4
1232,0
1233,1
1234,9
1235,6
1236,2
1237,1
1238,9
1239,4
1240,1
1241,0
1242,0
1243,1
1244,0
1245,5
1246,1
1247,9
1248,1
1249,0
1250,0
1251,2
1252,3
1253,4
1254,3
1255,4
1256,0
1257,6
1258,9
1259,6
1260,9
1261,3
1262,0
1263,0
1264,0
1265,4
1266,9
1267,0
1268,7
1269,7
1270,9
1271,0
1272,9
1273,6
1274,5
1275,0
1276,0
1277,6
1278,7
1279,2
1280,1
1281,0
1282,4
1283,0
1284,1
1285,0
1286,0
1287,0
1288,1
1289,4
1290,1
